seconds,average_delta,std_error,maximum
30,125.20,0.33,126
60,126.80,0.52,128
90,127.00,0.40,128
120,127.00,0.40,128
150,127.00,0.40,128
180,127.20,0.33,128
210,127.20,0.33,128
240,127.20,0.33,128
270,127.20,0.33,128
300,127.40,0.22,128
330,127.40,0.22,128
360,127.40,0.22,128
390,127.40,0.22,128
420,127.40,0.22,128
450,127.40,0.22,128
480,127.60,0.22,128
510,127.60,0.22,128
540,127.80,0.18,128
570,127.80,0.18,128
600,127.80,0.18,128
630,127.80,0.18,128
660,127.80,0.18,128
690,127.80,0.18,128
720,127.80,0.18,128
750,127.80,0.18,128
780,127.80,0.18,128
810,127.80,0.18,128
840,127.80,0.18,128
870,127.80,0.18,128
900,127.80,0.18,128
930,127.80,0.18,128
960,128.00,0.00,128
990,128.00,0.00,128
1020,128.00,0.00,128
1050,128.00,0.00,128
1080,128.00,0.00,128
1110,128.00,0.00,128
1140,128.00,0.00,128
1170,128.00,0.00,128
1200,128.00,0.00,128
1230,128.00,0.00,128
1260,128.00,0.00,128
1290,128.00,0.00,128
1320,128.00,0.00,128
1350,128.00,0.00,128
1380,128.00,0.00,128
1410,128.00,0.00,128
1440,128.00,0.00,128
1470,128.00,0.00,128
1500,128.00,0.00,128
1530,128.00,0.00,128
1560,128.00,0.00,128
1590,128.00,0.00,128
1620,128.00,0.00,128
1650,128.00,0.00,128
1680,128.00,0.00,128
1710,128.00,0.00,128
1740,128.00,0.00,128
1770,128.00,0.00,128

1800,128.00,0.00,128

time delta>0:
2.60 (+/- 0.88)
[1, 1, 5, 1, 5]
